n_universo,k_value,tiempo_(micro_segundos),iteracion,cantidad_valores_en_arreglo
8,6,4,9,100000000
8,7,4,9,100000000
8,8,3,9,100000000
8,9,3,9,100000000
8,1,25,10,100000000
8,2,11,10,100000000
8,3,7,10,100000000
8,4,5,10,100000000
8,5,5,10,100000000
8,6,4,10,100000000
8,7,3,10,100000000
8,8,19,10,100000000
8,9,3,10,100000000
9,1,42,1,100000000
9,2,19,1,100000000
9,3,9,1,100000000
9,4,6,1,100000000
9,5,5,1,100000000
9,6,4,1,100000000
9,7,4,1,100000000
9,8,3,1,100000000
9,9,3,1,100000000
9,10,3,1,100000000
9,1,26,2,100000000
9,2,11,2,100000000
9,3,7,2,100000000
9,4,6,2,100000000
9,5,4,2,100000000
9,6,4,2,100000000
9,7,3,2,100000000
9,8,3,2,100000000
9,9,3,2,100000000
9,10,2,2,100000000
9,1,190,3,100000000
9,2,102,3,100000000
9,3,84,3,100000000
9,4,8,3,100000000
9,5,6,3,100000000
9,6,5,3,100000000
9,7,5,3,100000000
9,8,4,3,100000000
9,9,4,3,100000000
9,10,3,3,100000000
9,1,54,4,100000000
9,2,25,4,100000000
9,3,78,4,100000000
9,4,11,4,100000000
9,5,9,4,100000000
9,6,91,4,100000000
9,7,57,4,100000000
9,8,6,4,100000000
9,9,6,4,100000000
9,10,5,4,100000000
9,1,26,5,100000000
9,2,11,5,100000000
9,3,8,5,100000000
9,4,6,5,100000000
9,5,4,5,100000000
9,6,6,5,100000000
9,7,5,5,100000000
9,8,4,5,100000000
9,9,19,5,100000000
9,10,4,5,100000000
9,1,25,6,100000000
9,2,11,6,100000000
9,3,8,6,100000000
9,4,5,6,100000000
9,5,4,6,100000000
9,6,4,6,100000000
9,7,3,6,100000000
9,8,4,6,100000000
9,9,4,6,100000000
9,10,42,6,100000000
9,1,25,7,100000000
9,2,11,7,100000000
9,3,7,7,100000000
9,4,5,7,100000000
9,5,4,7,100000000
9,6,4,7,100000000
9,7,3,7,100000000
9,8,3,7,100000000
9,9,3,7,100000000
9,10,2,7,100000000
9,1,62,8,100000000
9,2,15,8,100000000
9,3,10,8,100000000
9,4,7,8,100000000
9,5,6,8,100000000
9,6,5,8,100000000
9,7,5,8,100000000
9,8,4,8,100000000
9,9,4,8,100000000
9,10,3,8,100000000
9,1,28,9,100000000
9,2,13,9,100000000
9,3,8,9,100000000
9,4,7,9,100000000
9,5,9,9,100000000
9,6,6,9,100000000
9,7,6,9,100000000
9,8,3,9,100000000
9,9,3,9,100000000
9,10,3,9,100000000
9,1,47,10,100000000
9,2,14,10,100000000
9,3,10,10,100000000
9,4,7,10,100000000
9,5,6,10,100000000
9,6,5,10,100000000
9,7,4,10,100000000
9,8,3,10,100000000
9,9,4,10,100000000
9,10,3,10,100000000
10,1,165,1,100000000
10,2,15,1,100000000
10,3,10,1,100000000
10,4,8,1,100000000
10,5,37,1,100000000
10,6,5,1,100000000
10,7,4,1,100000000
10,8,3,1,100000000
10,9,3,1,100000000
10,10,3,1,100000000
10,11,3,1,100000000
10,1,26,2,100000000
10,2,11,2,100000000
10,3,8,2,100000000
10,4,5,2,100000000
10,5,4,2,100000000
10,6,4,2,100000000
10,7,3,2,100000000
10,8,3,2,100000000
10,9,3,2,100000000
10,10,19,2,100000000
10,11,2,2,100000000
10,1,53,3,100000000
10,2,15,3,100000000
10,3,10,3,100000000
10,4,7,3,100000000
10,5,6,3,100000000
10,6,5,3,100000000
10,7,5,3,100000000
10,8,4,3,100000000
10,9,4,3,100000000
10,10,4,3,100000000
10,11,3,3,100000000
10,1,26,4,100000000
10,2,11,4,100000000
10,3,7,4,100000000
10,4,5,4,100000000
10,5,4,4,100000000
10,6,4,4,100000000
10,7,19,4,100000000
10,8,3,4,100000000
10,9,3,4,100000000
10,10,3,4,100000000
10,11,2,4,100000000
10,1,25,5,100000000
10,2,11,5,100000000
10,3,7,5,100000000
10,4,7,5,100000000
10,5,6,5,100000000
10,6,5,5,100000000
10,7,6,5,100000000
10,8,3,5,100000000
10,9,3,5,100000000
10,10,2,5,100000000
10,11,2,5,100000000
10,1,26,6,100000000
10,2,11,6,100000000
10,3,7,6,100000000
10,4,5,6,100000000
10,5,5,6,100000000
10,6,4,6,100000000
10,7,3,6,100000000
10,8,3,6,100000000
10,9,3,6,100000000
10,10,3,6,100000000
10,11,2,6,100000000
10,1,25,7,100000000
10,2,66,7,100000000
10,3,13,7,100000000
10,4,6,7,100000000
10,5,5,7,100000000
10,6,4,7,100000000
10,7,4,7,100000000
10,8,3,7,100000000
10,9,3,7,100000000
10,10,3,7,100000000
10,11,2,7,100000000
10,1,25,8,100000000
10,2,12,8,100000000
10,3,8,8,100000000
10,4,6,8,100000000
10,5,5,8,100000000
10,6,4,8,100000000
10,7,4,8,100000000
10,8,3,8,100000000
10,9,3,8,100000000
10,10,3,8,100000000
10,11,2,8,100000000
10,1,25,9,100000000
10,2,11,9,100000000
10,3,7,9,100000000
10,4,6,9,100000000
10,5,7,9,100000000
10,6,44,9,100000000
10,7,5,9,100000000
10,8,5,9,100000000
10,9,3,9,100000000
10,10,3,9,100000000
10,11,2,9,100000000
10,1,25,10,100000000
10,2,11,10,100000000
10,3,7,10,100000000
10,4,5,10,100000000
10,5,4,10,100000000
10,6,4,10,100000000
10,7,4,10,100000000
10,8,3,10,100000000
10,9,3,10,100000000
10,10,3,10,100000000
10,11,2,10,100000000
11,1,33,1,100000000
11,2,13,1,100000000
11,3,85,1,100000000
11,4,43,1,100000000
11,5,5,1,100000000
11,6,6,1,100000000
11,7,6,1,100000000
11,8,4,1,100000000
11,9,40,1,100000000
11,10,4,1,100000000
11,11,3,1,100000000
11,12,4,1,100000000
11,1,25,2,100000000
11,2,11,2,100000000
11,3,7,2,100000000
11,4,5,2,100000000
11,5,4,2,100000000
11,6,25,2,100000000
11,7,4,2,100000000
11,8,24,2,100000000
11,9,5,2,100000000
11,10,4,2,100000000
11,11,3,2,100000000
11,12,4,2,100000000
11,1,34,3,100000000
11,2,16,3,100000000
11,3,12,3,100000000
11,4,10,3,100000000
11,5,8,3,100000000
11,6,8,3,100000000
11,7,6,3,100000000
11,8,5,3,100000000
11,9,6,3,100000000
11,10,5,3,100000000
11,11,5,3,100000000
11,12,4,3,100000000
11,1,25,4,100000000
11,2,11,4,100000000
11,3,7,4,100000000
11,4,5,4,100000000
11,5,4,4,100000000
11,6,4,4,100000000
11,7,3,4,100000000
11,8,3,4,100000000
11,9,4,4,100000000
11,10,4,4,100000000
11,11,4,4,100000000
11,12,2,4,100000000
11,1,25,5,100000000
11,2,11,5,100000000
11,3,7,5,100000000
11,4,5,5,100000000
11,5,5,5,100000000
11,6,4,5,100000000
11,7,3,5,100000000
11,8,3,5,100000000
11,9,3,5,100000000
11,10,2,5,100000000
11,11,2,5,100000000
11,12,2,5,100000000
11,1,40,6,100000000
11,2,15,6,100000000
11,3,10,6,100000000
11,4,7,6,100000000
11,5,6,6,100000000
11,6,5,6,100000000
11,7,4,6,100000000
11,8,4,6,100000000
11,9,4,6,100000000
11,10,3,6,100000000
11,11,3,6,100000000
11,12,3,6,100000000
11,1,24,7,100000000
11,2,11,7,100000000
11,3,7,7,100000000
11,4,5,7,100000000
11,5,4,7,100000000
11,6,4,7,100000000
11,7,3,7,100000000
11,8,3,7,100000000
11,9,3,7,100000000
11,10,3,7,100000000
11,11,2,7,100000000
11,12,2,7,100000000
11,1,41,8,100000000
11,2,48,8,100000000
11,3,9,8,100000000
11,4,7,8,100000000
11,5,5,8,100000000
11,6,5,8,100000000
11,7,4,8,100000000
11,8,3,8,100000000
11,9,3,8,100000000
11,10,3,8,100000000
11,11,2,8,100000000
11,12,2,8,100000000
11,1,25,9,100000000
11,2,11,9,100000000
11,3,8,9,100000000
11,4,5,9,100000000
11,5,4,9,100000000
11,6,4,9,100000000
11,7,39,9,100000000
11,8,3,9,100000000
11,9,3,9,100000000
11,10,3,9,100000000
11,11,2,9,100000000
11,12,2,9,100000000
11,1,25,10,100000000
11,2,11,10,100000000
11,3,7,10,100000000
11,4,17,10,100000000
11,5,5,10,100000000
11,6,4,10,100000000
11,7,4,10,100000000
11,8,3,10,100000000
11,9,3,10,100000000
11,10,3,10,100000000
11,11,2,10,100000000
11,12,2,10,100000000
12,1,65,1,100000000
12,2,12,1,100000000
12,3,8,1,100000000
12,4,6,1,100000000
12,5,5,1,100000000
12,6,4,1,100000000
12,7,4,1,100000000
12,8,3,1,100000000
